"x"
"A1CF"
"A2M"
"A2ML1"
"A4GNT"
"AADAC"
"ABCA8"
"ABCB1"
"ABCC3"
"ABCC8"
"ABCC9"
"ABHD17C"
"ABHD2"
"ABI3BP"
"ABO"
"ACER2"
"ACHE"
"ACKR1"
"ACP5"
"ACSL5"
"ACSM3"
"ACTA2"
"ACTC1"
"ACTG2"
"ADA2"
"ADAM12"
"ADAM19"
"ADAM28"
"ADAM8"
"ADAMDEC1"
"ADAMTS1"
"ADAMTS12"
"ADAMTS14"
"ADAMTS16"
"ADAMTS2"
"ADAMTS4"
"ADAMTS8"
"ADAP1"
"ADCY5"
"ADCYAP1"
"ADGRA2"
"ADGRF1"
"ADGRF4"
"ADGRG6"
"ADGRG7"
"ADH1B"
"ADH1C"
"ADH4"
"ADH6"
"ADIPOQ"
"ADM"
"ADORA1"
"ADORA2B"
"ADORA3"
"ADRA2A"
"ADTRP"
"AEBP1"
"AGMO"
"AGR2"
"AGR3"
"AGRP"
"AGT"
"AHCYL2"
"AHNAK2"
"AIF1"
"AIM2"
"AK4"
"AKAP12"
"AKAP7"
"AKR1B10"
"AKR1C1"
"AKR1C2"
"AKR7A3"
"ALB"
"ALDH1A1"
"ALDH1A2"
"ALDH1A3"
"ALDH1L1"
"ALDH3A1"
"ALDH3B2"
"ALDOB"
"ALKAL1"
"ALKAL2"
"ALOX15B"
"ALOX5"
"ALOX5AP"
"ALPG"
"ALPI"
"ALPL"
"ALPP"
"ALS2CL"
"AMBP"
"AMH"
"AMIGO2"
"AMN"
"AMTN"
"AMY2A"
"AMY2B"
"ANGPTL1"
"ANGPTL2"
"ANGPTL4"
"ANGPTL7"
"ANKRD1"
"ANKRD22"
"ANKRD40CL"
"ANKS4B"
"ANLN"
"ANO1"
"ANO7"
"ANPEP"
"ANTXR1"
"ANXA1"
"ANXA10"
"ANXA13"
"ANXA3"
"ANXA4"
"ANXA8"
"ANXA8L1"
"AOAH"
"AOC1"
"AOC3"
"AOX1"
"APBB1IP"
"APCDD1L"
"APCS"
"APLNR"
"APLP1"
"APOA1"
"APOA2"
"APOA4"
"APOB"
"APOBEC1"
"APOBEC2"
"APOC1"
"APOC3"
"APOD"
"APOE"
"APOH"
"APOL1"
"APOL4"
"APOLD1"
"AQP1"
"AQP3"
"AQP5"
"AQP8"
"AQP9"
"ARC"
"AREG"
"ARHGAP23"
"ARHGAP30"
"ARHGAP4"
"ARHGAP40"
"ARL14"
"ARL4C"
"ARL4D"
"ARSL"
"ART4"
"ARX"
"ASAP2"
"ASB9"
"ASPHD2"
"ASPN"
"ATF3"
"ATG9B"
"ATOH1"
"ATP10B"
"ATP13A4"
"ATP1A1"
"ATP1A2"
"ATP2C2"
"AXL"
"AZGP1"
"B3GALT2"
"B3GALT5"
"B3GNT3"
"B3GNT6"
"B3GNT7"
"BAAT"
"BAIAP2L1"
"BAIAP2L2"
"BAIAP3"
"BANK1"
"BARX1"
"BARX2"
"BASP1"
"BATF"
"BBOX1"
"BCAS1"
"BCAT1"
"BCL2A1"
"BCL2L14"
"BCL2L15"
"BEAN1"
"BEX1"
"BEX2"
"BEX5"
"BGN"
"BHLHA15"
"BHLHE40"
"BICC1"
"BICDL2"
"BIK"
"BIRC3"
"BIRC5"
"BIRC7"
"BLACAT1"
"BLK"
"BMP4"
"BMP5"
"BMP7"
"BMX"
"BNIP5"
"BOC"
"BPIFB1"
"BST2"
"BTBD16"
"BTK"
"BTNL3"
"BTNL8"
"C11orf53"
"C11orf86"
"C11orf96"
"C12orf75"
"C15orf48"
"C16orf54"
"C16orf74"
"C16orf89"
"C1QA"
"C1QB"
"C1QC"
"C1QL1"
"C1QTNF12"
"C1QTNF3"
"C1S"
"C1orf116"
"C1orf127"
"C1orf162"
"C2CD4A"
"C2CD4B"
"C2orf72"
"C2orf88"
"C3"
"C3AR1"
"C4A"
"C4B"
"C4BPA"
"C4BPB"
"C4orf48"
"C5AR1"
"C5orf46"
"C6"
"C6orf141"
"C6orf15"
"C6orf58"
"C7"
"C8G"
"C9orf152"
"CA12"
"CA2"
"CA4"
"CA9"
"CABP7"
"CACNA2D2"
"CACNG4"
"CACNG6"
"CADPS"
"CALB2"
"CALCRL"
"CALD1"
"CALHM3"
"CALML5"
"CALY"
"CAMK2B"
"CAPN12"
"CAPN13"
"CAPN5"
"CAPN6"
